Begin,End,Label,Type,Speaker
0.4,0.53,能,words,temp_test2
0.53,0.7,够,words,temp_test2
0.7,0.96,更,words,temp_test2
0.96,1.09,有,words,temp_test2
1.09,1.33,效,words,temp_test2
1.33,1.45,率,words,temp_test2
1.45,1.54,地,words,temp_test2
1.54,1.78,结,words,temp_test2
1.78,2.11,合,words,temp_test2
2.37,2.51,给,words,temp_test2
2.51,2.67,用,words,temp_test2
2.67,2.79,户,words,temp_test2
2.79,2.98,提,words,temp_test2
2.98,3.17,升,words,temp_test2
3.17,3.44,更,words,temp_test2
3.44,3.62,多,words,temp_test2
3.62,3.75,的,words,temp_test2
3.75,3.87,这,words,temp_test2
3.87,4.17,种,words,temp_test2
4.51,4.76,体,words,temp_test2
4.76,5.09,验,words,temp_test2
5.09,5.18,也,words,temp_test2
5.18,5.38,包,words,temp_test2
5.38,5.51,括,words,temp_test2
5.51,5.65,他,words,temp_test2
5.65,5.81,的,words,temp_test2
5.81,5.96,这,words,temp_test2
5.96,6.32,个,words,temp_test2
6.78,6.89,他,words,temp_test2
6.89,6.97,的,words,temp_test2
6.97,7.2,后,words,temp_test2
7.2,7.38,台,words,temp_test2
7.38,7.57,的,words,temp_test2
7.57,7.83,效,words,temp_test2
7.83,7.99,率,words,temp_test2
7.99,8.2,提,words,temp_test2
8.2,8.42,升,words,temp_test2
8.42,8.62,等,words,temp_test2
8.62,8.79,等,words,temp_test2
8.79,8.87,我,words,temp_test2
8.87,9.05,相,words,temp_test2
9.05,9.18,信,words,temp_test2
9.21,9.33,这,words,temp_test2
9.33,9.63,些,words,temp_test2
10.1,10.49,额,words,temp_test2
10.6,10.86,额,words,temp_test2
10.86,11.1,业,words,temp_test2
11.1,11.26,界,words,temp_test2
11.26,11.34,的,words,temp_test2
11.34,11.48,解,words,temp_test2
11.48,11.57,决,words,temp_test2
11.57,11.75,方,words,temp_test2
11.75,11.97,案,words,temp_test2
11.97,12.06,应,words,temp_test2
12.06,12.26,该,words,temp_test2
12.26,12.54,说,words,temp_test2
12.54,12.95,是,words,temp_test2
0.4,0.43,n,phones,temp_test2
0.43,0.46,o˧˥,phones,temp_test2
0.46,0.53,ŋ,phones,temp_test2
0.53,0.58,k,phones,temp_test2
0.58,0.7,ow˥˩,phones,temp_test2
0.7,0.84,k,phones,temp_test2
0.84,0.91,o˥,phones,temp_test2
0.91,0.96,ŋ,phones,temp_test2
0.96,1.02,j,phones,temp_test2
1.02,1.09,ow˥˩,phones,temp_test2
1.09,1.21,ɕ,phones,temp_test2
1.21,1.33,aw˥˩,phones,temp_test2
1.33,1.38,ʎ,phones,temp_test2
1.38,1.45,y˥˩,phones,temp_test2
1.45,1.49,t,phones,temp_test2
1.49,1.54,ə,phones,temp_test2
1.54,1.67,tɕ,phones,temp_test2
1.67,1.78,e˥,phones,temp_test2
1.78,1.92,x,phones,temp_test2
1.92,2.11,o˧˥,phones,temp_test2
2.37,2.43,k,phones,temp_test2
2.43,2.51,ej˨˩˦,phones,temp_test2
2.51,2.59,j,phones,temp_test2
2.59,2.64,u˥˩,phones,temp_test2
2.64,2.67,ŋ,phones,temp_test2
2.67,2.72,xʷ,phones,temp_test2
2.72,2.79,u˥˩,phones,temp_test2
2.79,2.93,tʲ,phones,temp_test2
2.93,2.98,i˨˩˦,phones,temp_test2
2.98,3.07,ʂ,phones,temp_test2
3.07,3.11,o˥,phones,temp_test2
3.11,3.17,ŋ,phones,temp_test2
3.17,3.25,k,phones,temp_test2
3.25,3.34,o˥,phones,temp_test2
3.34,3.44,ŋ,phones,temp_test2
3.44,3.5,t,phones,temp_test2
3.5,3.58,w,phones,temp_test2
3.58,3.62,o˧˥,phones,temp_test2
3.62,3.68,t,phones,temp_test2
3.68,3.75,ə,phones,temp_test2
3.75,3.84,ʈʂ,phones,temp_test2
3.84,3.87,o˥˩,phones,temp_test2
3.87,3.93,ʈʂ,phones,temp_test2
3.93,4.01,u˥˩,phones,temp_test2
4.01,4.17,ŋ,phones,temp_test2
4.51,4.64,tʲ,phones,temp_test2
4.64,4.76,i˥,phones,temp_test2
