Begin,End,Label,Type,Speaker
0.38,0.53,能,words,temp
0.53,0.7,够,words,temp
0.7,0.96,更,words,temp
0.96,1.1,有,words,temp
1.1,1.33,效,words,temp
1.33,1.45,率,words,temp
1.45,1.54,地,words,temp
1.54,1.79,结,words,temp
1.79,2.1,合,words,temp
2.37,2.52,给,words,temp
2.52,2.67,用,words,temp
2.67,2.8,户,words,temp
2.8,2.98,提,words,temp
2.98,3.18,升,words,temp
3.18,3.44,更,words,temp
3.44,3.62,多,words,temp
3.62,3.75,的,words,temp
3.75,3.87,这,words,temp
3.87,4.21,种,words,temp
4.51,4.76,体,words,temp
4.76,5.09,验,words,temp
5.09,5.18,也,words,temp
5.18,5.38,包,words,temp
5.38,5.51,括,words,temp
5.51,5.65,他,words,temp
5.65,5.81,的,words,temp
5.81,5.96,这,words,temp
5.96,6.38,个,words,temp
6.78,6.89,他,words,temp
6.89,6.97,的,words,temp
6.97,7.2,后,words,temp
7.2,7.38,台,words,temp
7.38,7.57,的,words,temp
7.57,7.83,效,words,temp
7.83,8.01,率,words,temp
8.01,8.2,提,words,temp
8.2,8.42,升,words,temp
8.42,8.62,等,words,temp
8.62,8.79,等,words,temp
8.79,8.88,我,words,temp
8.88,9.06,相,words,temp
9.06,9.21,信,words,temp
9.21,9.33,这,words,temp
9.33,9.54,些,words,temp
9.54,9.6,额,words,temp
10.07,10.37,额,words,temp
10.37,10.43,业,words,temp
10.43,10.49,界,words,temp
10.59,10.88,的,words,temp
10.88,11.11,解,words,temp
11.11,11.58,决,words,temp
11.58,11.75,方,words,temp
11.75,11.97,案,words,temp
11.97,12.07,应,words,temp
12.07,12.26,该,words,temp
12.26,12.54,说,words,temp
12.54,12.92,是,words,temp
0.38,0.43,n,phones,temp
0.43,0.46,o˧˥,phones,temp
0.46,0.53,ŋ,phones,temp
0.53,0.58,k,phones,temp
0.58,0.7,ow˥˩,phones,temp
0.7,0.84,k,phones,temp
0.84,0.91,o˥,phones,temp
0.91,0.96,ŋ,phones,temp
0.96,1.02,j,phones,temp
1.02,1.1,ow˥˩,phones,temp
1.1,1.21,ɕ,phones,temp
1.21,1.33,aw˥˩,phones,temp
1.33,1.38,ʎ,phones,temp
1.38,1.45,y˥˩,phones,temp
1.45,1.49,t,phones,temp
1.49,1.54,ə,phones,temp
1.54,1.67,tɕ,phones,temp
1.67,1.79,e˥,phones,temp
1.79,1.92,x,phones,temp
1.92,2.1,o˧˥,phones,temp
2.37,2.43,k,phones,temp
2.43,2.52,ej˨˩˦,phones,temp
2.52,2.59,j,phones,temp
2.59,2.64,u˥˩,phones,temp
2.64,2.67,ŋ,phones,temp
2.67,2.73,xʷ,phones,temp
2.73,2.8,u˥˩,phones,temp
2.8,2.92,tʲ,phones,temp
2.92,2.98,i˨˩˦,phones,temp
2.98,3.07,ʂ,phones,temp
3.07,3.11,o˥,phones,temp
3.11,3.18,ŋ,phones,temp
3.18,3.26,k,phones,temp
3.26,3.36,o˥,phones,temp
3.36,3.44,ŋ,phones,temp
3.44,3.5,t,phones,temp
3.5,3.59,w,phones,temp
3.59,3.62,o˧˥,phones,temp
3.62,3.68,t,phones,temp
3.68,3.75,ə,phones,temp
3.75,3.84,ʈʂ,phones,temp
3.84,3.87,o˥˩,phones,temp
3.87,3.93,ʈʂ,phones,temp
3.93,4.0,u˥˩,phones,temp
4.0,4.21,ŋ,phones,temp
4.51,4.64,tʲ,phones,temp
4.64,4.76,i˥,phones,temp
4.76,4.85,j,phones,temp
4.85,5.06,e˥˩,phones,temp
5.06,5.09,n,phones,temp
5.09,5.13,j,phones,temp
5.13,5.18,e˨˩˦,phones,temp
5.18,5.28,p,phones,temp
5.28,5.38,aw˥,phones,temp
5.38,5.44,kʰ,phones,temp
5.44,5.48,w,phones,temp
5.48,5.51,o˥˩,phones,temp
5.51,5.57,tʰ,phones,temp
5.57,5.65,a˥,phones,temp
5.65,5.73,t,phones,temp
5.73,5.81,ə,phones,temp
5.81,5.9,ʈʂ,phones,temp
5.9,5.96,ej˥˩,phones,temp
5.96,6.05,k,phones,temp
6.05,6.38,ə,phones,temp
6.78,6.83,tʰ,phones,temp
6.83,6.89,a˥,phones,temp
6.89,6.93,t,phones,temp
6.93,6.97,ə,phones,temp
6.97,7.1,x,phones,temp
7.1,7.2,ow˥˩,phones,temp
7.2,7.27,tʰ,phones,temp
7.27,7.38,aj˥,phones,temp
7.38,7.44,t,phones,temp
7.44,7.57,ə,phones,temp
7.57,7.72,ɕ,phones,temp
7.72,7.83,aw˥˩,phones,temp
7.83,7.88,ʎ,phones,temp
7.88,8.01,y˥˩,phones,temp
8.01,8.14,tʲ,phones,temp
8.14,8.2,i˨˩˦,phones,temp
8.2,8.29,ʂ,phones,temp
8.29,8.35,o˥,phones,temp
8.35,8.42,ŋ,phones,temp
8.42,8.49,t,phones,temp
8.49,8.54,o˨˩˦,phones,temp
8.54,8.62,ŋ,phones,temp
8.62,8.67,t,phones,temp
8.67,8.72,o˨˩˦,phones,temp
8.72,8.79,ŋ,phones,temp
8.79,8.84,w,phones,temp
8.84,8.88,o˨˩˦,phones,temp
8.88,8.92,ɕ,phones,temp
8.92,8.99,a˥,phones,temp
8.99,9.06,ŋ,phones,temp
9.06,9.1,ɕ,phones,temp
9.1,9.13,i˥˩,phones,temp
9.13,9.21,n,phones,temp
9.21,9.28,ʈʂ,phones,temp
9.28,9.33,ej˥˩,phones,temp
9.33,9.43,ɕ,phones,temp
9.43,9.54,e˨˩˦,phones,temp
9.54,9.57,ʔ,phones,temp
9.57,9.6,o˧˥,phones,temp
10.07,10.37,o˧˥,phones,temp
10.37,10.4,j,phones,temp
10.4,10.43,e˥˩,phones,temp
10.43,10.46,tɕ,phones,temp
10.46,10.49,e˥˩,phones,temp
10.59,10.63,t,phones,temp
10.63,10.88,ə,phones,temp
10.88,10.98,tɕ,phones,temp
10.98,11.11,e˨˩˦,phones,temp
11.11,11.18,tɕʷ,phones,temp
11.18,11.58,e˧˥,phones,temp
11.58,11.66,f,phones,temp
11.66,11.71,a˧˥,phones,temp
11.71,11.75,ŋ,phones,temp
11.75,11.8,ʔ,phones,temp
11.8,11.85,a˥˩,phones,temp
11.85,11.97,n,phones,temp
11.97,12.0,i˥,phones,temp
12.0,12.07,ŋ,phones,temp
12.07,12.15,k,phones,temp
12.15,12.26,aj˥,phones,temp
12.26,12.36,ʂ,phones,temp
12.36,12.49,w,phones,temp
12.49,12.54,o˥,phones,temp
12.54,12.68,ʂ,phones,temp
12.68,12.92,ʐ̩˥˩,phones,temp
